User-ID,Location-IP
47315898,河北
1053522,江苏
255729266,浙江
207809933,陕西
179317494,云南
2516247,北京
262366247,山东
247487271,山东
53748765,北京
129059108,河北
36723501,浙江
65173968,广东
58081101,河南
209199205,河北
143043348,福建
155955164,江苏
49772958,北京
43181635,中国香港
52157367,上海
194741693,广东
2843460,江苏
178565807,上海
149964660,北京
69219968,重庆
2492038,广东
1688615,江苏
139364277,江苏
177227951,湖南
154425021,北京
69947819,广东
124573895,上海
157689611,中国香港
174269147,辽宁
144231750,安徽
196497072,黑龙江
89380154,广东
1147451,上海
253313971,黑龙江
78065496,广东
64155300,四川
11618591,广东
83483930,山东
2536847,陕西
157432394,福建
153934885,德国
3903687,北京
126023713,河北
60153445,浙江
156736953,浙江
3331173,江苏
1136353,湖北
189708801,北京
163363489,天津
163809107,天津
33560621,云南
71061652,北京
37796090,辽宁
197047294,北京
77423976,美国
3485381,上海
2860322,北京
130139652,上海
51894701,福建
138619037,山西
259755640,广西
183618330,北京
2603819,上海
65923363,上海
3525194,广东
275904031,江西
4625504,北京
155752101,江苏
47809915,上海
45507274,上海
211139318,浙江
238759920,福建
3913640,辽宁
135820992,安徽
3627289,江苏
133677980,浙江
61774653,广东
176695078,江苏
265236769,广东
128532849,北京
259206326,河南
95525889,北京
33560621,云南
163869355,广东
203422093,湖南
69366346,广东
190539097,广东
86505188,河北
44473060,贵州
240340605,江西
247200255,北京
179327948,四川
162471359,重庆
249143457,浙江
101560136,浙江
268222129,河北
223664862,北京
259755640,广西
166260597,吉林
217604387,黑龙江
160406663,北京
82183438,河北
227918549,陕西
272335125,广东
247487271,山东
271288194,黑龙江
1227995,广东
2289860,贵州
151962368,广东
226184217,湖南
54269423,北京
151010953,广东
68724391,上海
144434911,四川
137228249,上海
254201393,广东
162989918,江苏
61543146,内蒙古
32236434,湖北
249981282,湖北
126585478,四川
1434391,河北
266946864,湖北
32047885,广东
177747306,浙江
182073887,上海
4742801,浙江
144961026,福建
4558566,广东
128653041,广东
198069904,山东
189511221,浙江
17494756,中国香港
177828489,广东
56535339,陕西
28368879,广东
210865824,广西
2945450,浙江
57967461,北京
51728044,上海
258491341,上海
49613201,北京
37259972,广东
1047753,北京
161657439,江苏
78065496,广东
174887771,辽宁
175414487,北京
135186255,江苏
53585021,江苏
53613967,重庆
51601022,河南
113667090,浙江
2735904,江苏
2233142,广东
170043786,江苏
1569350,广东
47631056,山东
55577108,广西
