isbn,title,author,year,publisher,genre
9787572614675,失去的过去与未来的犯罪,[日]小林泰三,2024,湖南文艺出版社,5
9787508628332,别相信任何人,[英]S.J.沃森,2011,中信出版社,5
9787513321211,十角馆事件,[日]绫辻行人,2016,新星出版社,5
9787541166792,无人逝去,[日]白井智之,2023,四川文艺出版社,5
9787544297905,无名之町,[日本]东野圭吾,2021,南海出版公司,5
9787516836972,密室王国,[日]柄刀一,2024,台海出版社,6
9787513315487,谋杀启事,（英）阿加莎·克里斯蒂,2014,新星出版社,6
9787547746639,希腊棺材之谜,[美]埃勒里·奎因,2023,北京日报出版社,6
9787541160998,很久很久以前，在某一个地方……,[日]青柳碧人,2021,四川文艺出版社,6
9784062990943,双蛇密室,早坂吝,2017,上木らいち「援交探偵」系列,6
9787533973568,乱神馆记·蝶梦,水天一色,2023,浙江文艺出版社,6
9787547747957,不能赢的辩护,[英]史蒂夫·卡瓦纳,2024,北京日报出版社,6
9787521756111,十二楼谜案,宁航一,2023,中信出版社,6
9787513311939,藏书室女尸之谜,[英]阿加莎·克里斯蒂,2013,新星出版社,6
9787513317153,帷幕,[英]阿加莎·克里斯蒂,2015,新星出版社,6
9787020186068,请记得乐园,那多,2024,人民文学出版社,6
9787020158485,名侦探原田亘,白井智之,2022,人民文学出版社,6
9787549641932,清扫逝者房间的人,[日]中山七里,2024,文汇出版社,6
9787573011732,骗子家族,[日]道尾秀介,2023,海南出版社,6
9787513332903,首相绑架案,[英]阿加莎·克里斯蒂,2018,新星出版社,6
9787513312912,底牌,[英]阿加莎·克里斯蒂,2013,新星出版社,6
9787513313421,尼罗河上的惨案,[英]阿加莎·克里斯蒂,2013,新星出版社,6
9787513348379,占星术杀人魔法,[日]岛田庄司,2022,新星出版社,6
9787513345651,Blue,[日]叶真中显,2021,新星出版社,6
9787208088344,络新妇之理（上）,[日]京极夏彦,2009,上海人民出版社,6
9787573012845,黑暗之家,[日]贵志祐介,2023,海南出版社,6
9787572614675,失去的过去与未来的犯罪,[日]小林泰三,2024,湖南文艺出版社,6
9787513321181,黑猫馆事件,[日]绫辻行人,2016,新星出版社,6
9787513320917,水车馆事件,[日]绫辻行人,2016,新星出版社,6
9787201157412,低智商犯罪,紫金陈,2020,天津人民出版社,6
9787559479884,白川町杀人事件,(日)山本禾太郎,2023,江苏凤凰文艺出版社,6
9787573618047,葡萄球菌,[日]道尾秀介,2024,青岛出版社,6
9787572611964,坏小孩（修订新版）,紫金陈,2023,湖南文艺出版社,6
9787220134135,费可的晚宴,珞珈,2022,读客文化,6
9787544277716,麒麟之翼,东野圭吾,2015,南海出版公司,6
9787513316040,破镜谋杀案,[英]阿加莎·克里斯蒂,2014,新星出版社,6
9787513355896,驽马,[英]米克·赫伦,2024,新星出版社,6
9787513346528,帷幕,[英]阿加莎·克里斯蒂,2021,新星出版社,6
9787573505736,希望庄,[日]宫部美雪,2023,南海出版公司,6
9787559675859,无名之猫,拟南芥,2024,北京联合出版公司,6
9787513325318,牙医谋杀案,[英]阿加莎·克里斯蒂,2017,新星出版社,6
9787544281331,红手指,[日]东野圭吾,2016,南海出版公司,6
9787544296274,夏天、烟火和我的尸体,[日]乙一,2019,南海出版公司,6
9787555915843,七只黑猫之谜,[美]埃勒里·奎因,2024,河南文艺出版社,6
9787559664037,凶人馆谜案,[日本]今村昌弘,2022,北京联合出版公司,6
9787559628312,尸人庄谜案,[日]今村昌弘,2019,北京联合出版公司,6
9787513352154,一行杀人的台词,[英国]安东尼·霍洛维茨,2023,新星出版社,6
9787559667786,尸语者（上下册）,法医秦明,2023,北京联合出版公司,6
9787513326469,死了七次的男人,[日]西泽保彦,2017,新星出版社,6
9787513316972,葬礼之后,[英]阿加莎·克里斯蒂,2014,新星出版社,6
9787559675460,人生的愚者,[日]木木高太郎,2024,北京联合出版公司,6
9787513355988,石头，剪刀，布,[英]爱丽丝·芬尼,2024,新星出版社,6
9787521761498,深渊,深蓝,2024,中信出版集团,6
9787532779840,铁钉案,[荷]高罗佩,2019,上海译文出版社,6
9787513338004,罗杰疑案,[英]阿加莎·克里斯蒂,2020,新星出版社,6
9787508648279,童年的消逝,[美]尼尔·波兹曼（NeilPostman）,2015,中信出版社,7
9787100195706,继承人,[法国]皮埃尔·布迪厄,2021,商务印书馆,7
9787115616401,数学的雨伞下,[法]米卡埃尔·洛奈（MickaëlLaunay）,2023,人民邮电出版社,7
9787504121035,苏霍姆林斯基选集（五卷本）,蔡汀等编,2001,教育科学出版社,7
9787513308076,走进奇妙的数学世界（全3册）,(日)安野光雅,2013,新星出版社,7
9787505746886,你的孩子不是你的孩子,吴晓乐,2019,中国友谊出版公司,7
9787521750485,不被理解的少年,陈瑜,2023,中信出版集团,7
9787518410576,应用学习科学,[美]理查德·梅耶,2016,中国轻工业出版社,7
9787512705739,捕捉儿童敏感期,孙瑞雪,2013,中国妇女出版社,7
9787547259405,洛克菲勒写给儿子的38封信,范毅然,2019,吉林文史出版社,7
9787552041736,与孩子深度交谈,"[美]丽贝卡·罗兰（RebeccaRolland,EdD）",2023,上海社会科学院出版社,7
9787515332284,T.E.T.教师效能训练,托马斯•戈登,2015,中国青年出版社,7
9787115599469,认知觉醒（青少年学习版）,周岭,2022,人民邮电出版社,7
9787559830043,写作是门手艺,刘军强,2020,广西师范大学出版社,7
